X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Avg,Date
15634.900391,15634.900391,15634.900391,15634.900391,15634.900391,15634.900391,15634.900391,15634.900391,15634.900391,15634.900391,15634.900391,Sep 2017
15857.200195,15857.200195,15857.200195,15857.200195,15857.200195,15857.200195,15857.200195,15857.200195,15857.200195,15857.200195,15857.200195,Oct 2017
15705.244960547067,16436.149098754082,16815.970587047497,15742.950954234353,15759.093135175355,16130.698248903547,15404.602639674284,15902.14839694736,16218.859603504658,15863.88444332602,15997.960206811422,Nov 2017
15684.294152132437,16317.559203133067,16927.34353702797,15476.57538369838,15941.251256995838,15625.689766815087,15340.986929614957,16025.852754970696,15872.885771657788,16560.987603002606,15977.342635904883,Dec 2017
15860.493763563954,16388.934474226196,17027.847969298957,15992.396747327995,16517.98521562758,15726.331335421588,15780.312387635755,16291.827153979913,16344.13009728392,16826.178477836485,16275.643762220234,Jan 2018
16429.86126699639,16320.173425250989,16704.028753921815,16105.822261748053,16136.16387149509,15797.56101975134,15644.505987947055,15916.55697931232,17030.798677584,16750.97761266867,16283.644985667572,Feb 2018
16170.809922480492,16579.0735098251,17078.747629698413,16626.575881920595,16161.352509743203,15779.879079838001,15833.356748661423,15863.988131665314,17237.775395969275,16478.559077546895,16381.011788734872,Mar 2018
16731.730512756403,16409.221212635293,17147.92125088663,16341.34651364383,15922.424988907582,16721.24703525876,16285.860645689248,15879.04747355957,17358.898743959395,16026.553219759224,16482.42515970559,Apr 2018
17427.580654134832,16500.8062539843,17277.642354940308,16711.577983534076,15961.454801998718,16409.178755455374,15685.494890573762,15349.066940320266,17062.266037549834,17098.936209841948,16548.400488233343,May 2018
17714.48349499127,16883.967592128647,17016.0696355826,17052.97491959395,15568.891813961236,16846.996552836044,15984.248253516671,15954.194234587834,15379.364137066379,17084.590874293528,16548.578150855818,Jun 2018
17972.45310132008,16316.339054361903,16795.029755881624,17759.05069213611,15637.994653691483,16213.512994307079,16284.730944458604,16412.397741017958,15877.455062830208,17265.552677236505,16653.451667724155,Jul 2018
17261.87233203103,16840.995289396695,17006.373338401514,17932.07372178758,16283.191673694186,16223.173165042135,16360.934840780796,16947.10966632473,15490.415565340343,17627.4813445449,16797.36209373439,Aug 2018
16997.660240231584,16778.683993474693,17199.452773814704,18283.765915786913,16656.42294766117,15844.725706594454,16409.626767621212,17624.185262342704,14597.580430092514,18186.28100798531,16857.838504560525,Sep 2018
16680.856476123692,17262.085500063225,16591.660176365753,18280.455472742204,17314.02136998228,15580.28473527804,16583.622382087055,16980.59982706069,15189.558218688957,18389.854624666077,16885.2998783058,Oct 2018
16982.19900387299,17207.8340111741,15766.82812929343,17730.262345574676,17402.256244678592,16031.72688352213,17226.518558231444,16965.748981838256,15079.153594119984,17102.42737388292,16749.49551261885,Nov 2018
16973.572815002997,17137.408902356663,16009.310748525293,18414.34561331112,17629.339898568476,16354.505639122304,17005.78890286933,17121.184619920812,14775.160491967474,17712.25602214397,16913.287365378845,Dec 2018
17371.88470398647,17230.744511751705,16630.2744739793,18265.756286255004,17734.70307917801,16200.21564222967,16773.33726700248,16619.631327275263,14782.63369309417,18128.908529202916,16973.8089513955,Jan 2019
17489.160164765704,17816.052712929373,16841.883232367756,18490.064293985837,17227.562202245135,16306.92775864134,16805.181162243978,17048.047084415648,14847.76572005404,18117.71675427349,17099.03610859223,Feb 2019
17838.711294538694,18369.569224831645,17019.191219977663,17966.551453223245,17034.983026377893,15754.42483440657,16736.08574822799,17413.169356480787,14889.199490096655,17547.4467753106,17056.933242347175,Mar 2019
18918.663826795706,18367.593706358715,17163.1039861684,18485.825174557252,17150.826469111555,15713.104917423976,17256.8031965228,16669.536283460628,15007.060016238853,16782.149062806337,17151.466663944422,Apr 2019
18903.778811122884,18808.29786653283,18103.507703159412,18388.04633419244,17128.83340788775,16462.342621736178,16936.496869593175,16766.2836675372,15448.313227831297,17240.19900676971,17418.60995163629,May 2019
